iter	Passed	Remaining
882	13623	17233
883	13639	17219
884	13656	17205
885	13671	17189
886	13686	17174
887	13701	17157
888	13716	17141
889	13729	17123
890	13744	17106
891	13759	17091
892	13776	17078
893	13790	17061
894	13806	17045
895	13819	17027
896	13834	17011
897	13850	16996
898	13864	16979
899	13879	16963
900	13893	16946
901	13907	16928
902	13920	16910
903	13937	16897
904	13954	16883
905	13968	16867
906	13985	16853
907	13999	16835
908	14012	16817
909	14025	16800
910	14039	16782
911	14054	16766
912	14070	16752
913	14084	16735
914	14099	16718
915	14113	16701
916	14127	16684
917	14142	16669
918	14156	16651
919	14170	16634
920	14185	16619
921	14198	16601
922	14214	16586
923	14231	16572
924	14245	16555
925	14259	16538
926	14274	16522
927	14288	16505
928	14302	16488
929	14318	16473
930	14335	16460
931	14351	16445
932	14366	16429
933	14382	16414
934	14397	16399
935	14413	16384
936	14429	16369
937	14443	16352
938	14456	16334
939	14470	16317
940	14484	16300
941	14497	16283
942	14512	16266
943	14525	16249
944	14542	16235
945	14557	16219
946	14571	16202
947	14585	16185
948	14600	16170
949	14616	16154
950	14630	16138
951	14645	16122
952	14659	16105
953	14674	16089
954	14689	16073
955	14703	16057
956	14720	16042
957	14733	16025
958	14747	16008
959	14762	15992
960	14775	15974
961	14790	15958
962	14807	15945
963	14824	15932
964	14838	15914
965	14852	15898
966	14866	15881
967	14881	15864
968	14895	15848
969	14911	15833
970	14927	15819
971	14941	15802
972	14955	15785
973	14970	15770
974	14984	15753
975	14997	15735
976	15013	15720
977	15028	15704
978	15042	15688
979	15056	15671
980	15071	15655
981	15086	15639
982	15102	15625
983	15118	15610
984	15133	15594
985	15149	15579
986	15165	15564
987	15180	15548
988	15194	15532
989	15212	15519
990	15230	15507
991	15246	15492
992	15260	15475
993	15273	15457
994	15286	15440
995	15299	15422
996	15314	15406
997	15330	15392
998	15347	15378
999	15372	15372
1000	15387	15356
1001	15399	15338
1002	15414	15321
1003	15427	15304
1004	15443	15289
1005	15458	15274
1006	15472	15257
1007	15485	15239
1008	15499	15222
1009	15513	15205
1010	15528	15190
1011	15543	15175
1012	15558	15158
1013	15573	15143
1014	15585	15125
1015	15599	15108
1016	15613	15091
1017	15627	15074
1018	15642	15059
1019	15656	15042
1020	15669	15025
1021	15681	15006
1022	15694	14989
1023	15708	14972
1024	15721	14954
1025	15736	14938
1026	15751	14923
1027	15766	14908
1028	15782	14892
1029	15794	14874
1030	15809	14858
1031	15823	14842
1032	15839	14827
1033	15855	14812
1034	15869	14795
1035	15883	14779
1036	15894	14760
1037	15908	14743
1038	15923	14728
1039	15938	14712
1040	15952	14696
1041	15967	14680
1042	15981	14663
1043	15996	14647
1044	16010	14631
1045	16026	14617
1046	16041	14600
